Texto,Tema,Clase
¡El fin de la humanidad! La nueva inteligencia artificial que destruirá millones de empleos mañana mismo. Expertos advierten que el apocalipsis digital ya comenzó y nadie está a salvo.,Tecnología,Sensacionalista
Empresa de tecnología anuncia un nuevo modelo de lenguaje que podría automatizar tareas administrativas. El reporte técnico indica un posible impacto gradual en el sector empresarial.,Tecnología,No sensacionalista
¡Tu celular te está espiando! Descubre cómo la cámara secreta graba todas tus conversaciones y las envía a los gobiernos sin tu permiso.,Tecnología,Sensacionalista
Especialistas en ciberseguridad recomiendan revisar los permisos de las aplicaciones móviles para proteger los datos personales de los usuarios.,Tecnología,No sensacionalista
¡Escándalo brutal! Político es captado destruyendo pruebas de corrupción en una fiesta clandestina con delincuentes peligrosos.,Política,Sensacionalista
La comisión parlamentaria citó al funcionario público para responder sobre presuntas irregularidades en el presupuesto de infraestructura.,Política,No sensacionalista
¡Fraude colosal! El gobierno planea confiscar todos los depósitos bancarios de los ciudadanos para pagar una deuda secreta este fin de semana.,Política,Sensacionalista
El Banco Central emitió un comunicado oficial asegurando la estabilidad del sistema financiero tras las fluctuaciones del mercado internacional.,Política,No sensacionalista
¡Terremoto devastador! La falla tectónica que partirá al país en dos y hundirá ciudades enteras en las próximas horas.,Ciencia & Clima,Sensacionalista
El instituto geofísico monitorea la actividad sísmica en la región andina tras registrarse un temblor de magnitud moderada sin daños reportados.,Ciencia & Clima,No sensacionalista
¡Tóxicos en tu ropa! Las marcas de moda más famosas usan ácidos mortales que están quemando la piel de millones.,Moda,Sensacionalista
Diseñador local presentó su nueva colección de invierno destacando el uso de materiales reciclados y sostenibles.,Moda,No sensacionalista
¡Ola de calor asesina! Temperaturas extremas derretirán el asfalto y causarán muertes instantáneas si sales de tu casa mañana.,Ciencia & Clima,Sensacionalista
Las autoridades declararon alerta amarilla ante el aumento gradual de las temperaturas en la región central del país.,Ciencia & Clima,No sensacionalista
¡Universidades de cartón! Estudiantes descubren que sus diplomas son totalmente falsos tras años de pagar fortunas a mafias académicas.,Educación,Sensacionalista
Universidad pública inaugura un nuevo centro de investigación tecnológica con fondos otorgados por organismos internacionales.,Educación,No sensacionalista
¡El metro es una trampa mortal! Fallas eléctricas inminentes amenazan con electrocutar a miles de pasajeros en hora pico.,Transporte,Sensacionalista
