class,Text,Fuente,conteo_palabras_text,num_sentences,num_pairs,pairwise_similarities,mean_intra_similarity,max_intra_similarity,has_redundancy,redundant_pairs_count
False,"El gobierno ha aprobado un decreto ley en última estancia donde bonificará con 5.000 euros a todas las parejas que se casen por la iglesia. El decreto ley fue aprobado en última estancia con mayoría, gracias a los votos de de la cámara por mayoría absoluta. Las medidas han sido aprobadas, tras la creciente preocupación marcada por el incesante descenso de los enlaces matrimoniales a través de la iglesia. Atrás quedaron los años 80, 90 y 2000, cuando el 75% de las bodas se consumaban en un altar. La última cifra conocida. “A la gente le da miedo el compromiso. Si te casas por la Iglesia y luego te separas, no solo le fallas a tu pareja y a ti, sino que también a Dios“, comenta una joven que 25minutos.es ha entrevistado. Agrega que el factor económico también puede influir en la caída. “Una boda es algo muy caro, siempre hablamos de que nos casaríamos cuando los dos tuviésemos un trabajo estable”. Ella es arquitecta y tiene un negocio de decoración. Su esposo, de 31 años, ejerce de abogado. Apenas uno de cada tres matrimonios que se celebran son católicos, según los datos del INE del año pasado. En 2015, las bodas civiles cuadriplicaron a las religiosas, y el año pasado éstas últimas marcaron un récord negativo: 88.721, el 68,7% del total. La principal razón que explica este fenómeno es “la pérdida de influencia de la Iglesia en la sociedad “, según el profesor de la Uned y experto en sociología de la familia Juan Ignacio Martínez Pastor. Es por este motivo, el cual se presentó la enmienda y se aprobó la ley con carácter retroactivo. Los matrimonios podrán solicitar los 5000 euros, después del enlace con un certificado emitido por la parroquia que se haya realizado el acto, y seguidamente entregarlo en el juzgado de paz de su localidad. Pero no es oro todo lo que parece… en el decreto ley, existe una clausula, en la cual indica que que no se pueden separar o divorciar, hasta pasados 50 años. De no cumplir el requisito, la pareja deberá devolver la cantidad más intereses y demoras. Recuerda que no todo es lo que parece.",https://www.kaggle.com/datasets/arseniitretiakov/noticias-falsas-en-espaol?select=fakes1000.csv,364,19,171,"[0.49184, 0.60463, 0.28117, 0.12661, 0.08028, 0.39709, 0.09714, 0.30287, 0.00804, 0.18483, 0.39235, 0.42785, 0.24557, 0.36368, 0.73471, 0.45942, 0.2256, -0.08907, 0.2775, 0.17127, 0.20721, 0.03078, 0.0498, 0.01606, 0.09387, -0.03602, 0.06266, 0.06004, 0.19257, 0.0458, 0.50752, 0.30605, 0.27091, 0.13511, -0.11323, 0.37398, 0.04952, 0.30099, 0.5267, 0.25827, 0.36657, 0.04562, 0.24472, 0.52126, 0.56253, 0.52199, 0.39301, 0.46042, 0.39241, 0.30351, 0.03936, 0.08317, 0.07913, 0.20626, 0.07112, 0.29553, 0.07437, 0.1051, 0.41001, 0.52478, 0.21112, 0.13862, 0.28596, 0.24783, 0.16347, 0.08006, 0.10324, 0.08105, 0.12551, 0.1061, 0.03679, 0.08357, 0.07237, 0.08019, 0.10349, 0.15357, 0.06476, 0.19004, 0.04717, 0.3094, 0.36348, 0.15451, 0.32814, 0.00595, 0.18677, 0.23731, 0.21506, 0.38855, 0.09639, 0.11202, 0.25477, 0.33799, 0.26463, 0.17509, 0.4608, 0.04654, 0.31314, 0.4708, 0.38578, 0.54009, 0.12289, 0.29985, 0.49354, 0.28751, 0.2599, 0.21412, -0.06313, 0.01388, 0.04903, 0.05635, 0.36464, 0.23887, 0.0609, 0.16188, 0.21519, 0.25997, 0.1182, 0.34983, 0.18523, 0.21499, 0.19755, 0.13705, 0.25218, 0.42186, 0.33867, 0.12676, 0.3346, -0.01665, -0.05519, 0.01794, 0.00603, 0.00425, -0.04265, -0.02386, -0.02644, 0.17702, 0.18159, 0.13374, 0.10749, 0.20427, 0.364, 0.20502, -0.03811, 0.61815, 0.37064, 0.01061, 0.33268, 0.32503, 0.153, 0.20267, 0.40852, 0.14994, 0.37172, 0.33798, 0.21854, 0.10513, 0.16345, 0.13863, 0.23204, 0.13628, 0.24223, 0.21786, 0.31109, 0.21576, -0.00594, 0.32582, 0.32464, -0.07465, 0.2721, 0.27089, 0.159]",0.2122190147638321,0.7347134947776794,True,38
False,"Según informa el digital El Cadenazo, la alcaldesa de Madrid Manuela Carmena se ha convertido al Islam en fechas recientes. Las marcas que aparecen en la frente de Carmena en cada reaparición pública tras los reincidentes ""accidentes domésticos"" hacen pensar que se deben más bien a la ""zabiba"" o golpe de oración que suelen ejercitar los musulmanes devotos durante sus cinco rezos diarios, al golpear la frente contra las losas del suelo de forma reiterada, en señal de devoción y fe. Puestos en contacto con la Secretaria del Gabinete de Prensa de la alcaldesa, Teresa Fuentes, no ha querido confirmar ni desmentir estas afirmaciones, aduciendo que, en cualquier caso, se trataría de una cuestión concerniente exclusivamente al ámbito personal y privado de Manuela Carmena.Según informa el digital El Cadenazo, la alcaldesa de Madrid Manuela Carmena se ha convertido al Islam en fechas recientes. Las marcas que aparecen en la frente de Carmena en cada reaparición pública tras los reincidentes ""accidentes domésticos"" hacen pen",https://www.kaggle.com/datasets/arseniitretiakov/noticias-falsas-en-espaol?select=fakes1000.csv,163,4,6,"[0.45614, 0.77284, 0.27885, 0.44661, 0.53312, 0.3525]",0.4733438491821289,0.7728432416915894,True,5
False,"Lo principal ¿por qué diablos se empeñan en hablar de un tema que supuestamente les da asco?: tomemos como ejemplo la popo, algo que a todos nos da asco por su olor, textura e imaginar de donde vino. Alguien que le da asco la caca no habla de ella, al contrario, evita imaginarla, evita recordar como es la textura. Si en la calle se topa con una popo de perro o humano no se queda al lado de ella para olerla, mirarla y analizarla. Se va por el asco que le tiene en todos los sentidos, continua su vida y trata de olvidarla. ¿Entonces porque si a un homofóbico le dan tanto asco los gays, su tema principal es la homosexualidad?, no solo se trata de que todo el tiempo menciona el tema y por alguna razón su vida gira entorno a eso, se trata de que intenta llamar la atención a toda cosa de algo que (supuestamente) le da una tremenda repulsión. Si homofóbico, no dudamos que te den asco los gays afeminados y feos, pero por favor, todos sabemos que te mueres con estar con un hombre guapo, atlético y sobre todo ""varonil"" para dizque guardar las apariencias. Porque así como tú eres una variante del gay (el closetero) no se puede negar que hay otros que te acosan, gays a los que no les importas, gays que les das asco, g ays que jamás te voltearían a ver, gays que les gustas porque están urgido, etc. Como dice Miss España, la homosexualidad un abanico y todos sabemos que tu perteneces a esa diversidad, aunque según tu seas bien machote y mujeriego ( que por cierto, solo te hacen caso mujeres urgidas o acomplejadas, jaja).",https://huggingface.co/datasets/Edds/spanish-fake-news-fixed,287,8,28,"[0.33682, 0.52143, 0.2883, 0.34463, 0.6016, 0.24121, 0.29107, 0.39269, 0.29799, 0.23084, 0.26612, 0.23504, 0.26563, 0.35998, 0.33989, 0.3886, 0.24872, 0.26415, 0.18073, 0.2731, 0.22251, 0.25309, 0.33746, 0.2546, 0.21559, 0.6501, 0.71338, 0.77522]",0.3496607840061188,0.7752248048782349,True,12
False,"Ya hay más reencuentros de ""Operación Triunfo"" que ediciones de ""Operación Triunfo"" SE ESTÁN REENCONTRANDO COMPAÑEROS QUE AÚN NO SE CONOCEN Televisión Española La fiebre de los reencuentros de antiguos concursantes de ""Operación Triunfo"" ha llevado a Televisión Española a apostar por el formato de la nostalgia hasta el punto de que, según confirmaba el propio canal esta mañana, ya hay más ediciones de ""OT: El reencuentro"" que de ""Operación Triunfo"". Un portavoz de la productora Gestmusic reconocía que ""se están reencontrando cantantes que sólo se conocen desde hace dos días"". ""El concierto de ayer fue mítico, hay que repetirlo. ¿Cómo lo tenéis mañana?"", preguntó ayer un ejecutivo del Ente público a Chenoa y David Bisbal, que confesaron estar hartos de reencontrarse tras 16 reencuentros consecutivos. ""Yo necesito no reencontrarme con la misma gente tantas veces"", apuntó la cantante. Bisbal confesó tras las cámaras que, a estas alturas, los reencuentros merecen la pena no tanto por la ilusión ""como por lo que se cobra"". ""No sé quién es Julio Rojas porque me perdí el programa de ayer, pero dicen que esta noche se reencuentra con Vero, que tampoco sé quién es, y va a ser la bomba porque parece que hubo algo entre ellos casi desde que se conocieron hace menos de dos días"", comenta un seguidor acérrimo de este formato. TVE ha firmado ya la producción de doce ediciones de ""Operación Triunfo"" con doce reencuentros cada una. La imposibilidad de cuadrar la parrilla de programación ha llevado a celebrar el reencuentro de concursantes de una edición que aún no se había grabado. ""Es muy emocionante reencontrarte con los compañeros a los que vas a conocer dentro de un mes"", explicaba Yuri Sedasso, ganador de la edición de OT de 2023.",https://huggingface.co/datasets/Edds/spanish-fake-news-fixed,291,11,55,"[0.24532, 0.34739, 0.09579, 0.23667, 0.16898, 0.17723, 0.41821, 0.41546, 0.4306, 0.22995, 0.34842, 0.154, 0.43553, 0.38353, 0.22812, 0.43165, 0.04307, 0.26443, 0.42111, 0.3945, 0.23645, 0.39749, 0.3099, 0.32871, 0.09356, 0.30503, 0.18058, 0.1585, 0.0676, 0.06018, 0.24064, -0.01036, 0.11142, 0.30798, 0.37412, 0.408, 0.30563, -0.04999, 0.2728, 0.28753, 0.17863, 0.25081, -0.07663, 0.17108, 0.16705, 0.10435, 0.06436, 0.19587, 0.05599, 0.11301, 0.17699, 0.36078, 0.31237, 0.03632, 0.27388]",0.2298290431499481,0.4355342388153076,True,14
True,"Rusia quiere recrear el comienzo del Universo. Redacción DUBNÁ EFE En Dubná, a unos 100 kilómetros al norte de Moscú, se comienza a vislumbrar lo que será un enorme complejo científico que albergará el ""supercolisionador"" NICA, un gran proyecto con participación internacional con el que Rusia aspira a recrear los primeros momentos del Universo. La construcción del NICA (Nuclotron based Ion Collider Facility)en el Instituto Conjunto de Investigación Nuclear (JINR) comenzó en 2013 y está previsto que las obras concluyan a finales del próximo año, dijo a un grupo de periodistas extranjeros el científico Dmitri Driablov. El deseo de los aproximadamente mil científicos e ingenieros que trabajan en el proyecto es comenzar a operar el colisionador a partir de 2023. El objetivo es estudiar la transición de la materia ordinaria al plasma quark-gluón, una ""sopa"" muy caliente y densa que existía justo unas pocas millonésimas de segundo después del Big Bang, hace 13.700 millones de años. Para ello en Dubná se harán colisionar haces de iones de oro.",https://huggingface.co/datasets/Edds/spanish-fake-news-fixed,168,6,15,"[0.62744, 0.25592, 0.29854, 0.3108, 0.03473, 0.48519, 0.44944, 0.36748, 0.33628, 0.56841, 0.31084, 0.23295, 0.25791, 0.12983, 0.16769]",0.3222289979457855,0.6274354457855225,True,6
True,"Los títeres son el legado de Anita von Buchwald En el microteatro La Bota, ubicado en el Malecón del Salado, se dio espacio a la última obra del año de La Magia de los Títeres, por el grupo Ana von Buchwald, el cual se constituía por cuatro obras diferentes, que entre comedia y algo de miedo dejaban un mensaje educativo para todos los espectadores. Todo comenzó cuando Ana von Buchwald tenía que presentar una obra en el colegio donde enseñaba, y como siempre quiso dar apertura al teatro infantil, decidió hacer una obra con títeres, lo que después se convertiría en parte de su vida. ""La verdad Anita von Buchwald después de tantos años ha dejado un repertorio de una cantidad de muñecos, sobre todo para enseñar a los niños. Una de las formas más importantes de hacerlo es a través del títere, los niños se sienten identificados, y no solo los niños, sino adultos, jóvenes, ancianos"", destaca María Fernanda Páez, una integrante del grupo de Ana von Buchwald. Las diferentes obras que mostraron resaltan valores como la solidaridad, perseverancia, que entre los títeres de la Chanchita requetebonita, El panadero, El diablo de las 3 colas, Los vecinos, entre otros, dejaron. Una de las interpretaciones destacó la cultura andina, con la obra del grupo folclórico los Indios bonitos. ""Me pareció una propuesta diferente para hacer en familia los domingos, también me pareció que ellos aprecian este tipo de cosas porque es algo que les deja un mensaje, que los divierte y que sale de lo convencional"", comenta Cinthya, quien llevó a su hijo a disfrutar de la obra. El grupo de títeres lleva más de 30 años impartiendo las obras de Ana von Buchwald, que ha dejado de herencia alrededor de 430 muñecos y 215 obras. Hoy en día se está terminando de construir el Museo de Títeres, que ha dado espacio el Municipio de Guayaquil en el Malecón del Salado, para impartir clases, talleres y mucho más. ",https://huggingface.co/datasets/Edds/spanish-fake-news-fixed,328,9,36,"[0.52209, 0.59444, 0.24404, 0.3575, 0.22597, 0.15077, 0.49189, 0.37868, 0.6613, 0.42382, 0.14386, 0.18241, 0.1899, 0.45914, 0.16563, 0.54096, 0.31555, 0.16057, 0.30756, 0.50282, 0.19382, 0.23862, 0.22059, 0.38763, 0.25017, 0.09876, 0.34953, 0.27094, 0.28606, 0.21244, 0.13437, 0.20963, 0.08374, 0.04482, 0.08972, 0.21507]",0.2862443327903747,0.6613043546676636,True,12
False,"Vaso desechable completa 59 lavadas En lo que se considera un nuevo récord personal para la señora Margarita de Laverde, un vaso plástico desechable ha sido usado y lavado ya más de 59 veces en su hogar de la ciudad de Ibagué. A pesar de las críticas y reclamos de su familia, que considera una abominación lavar un vaso que ha sido fabricado para un solo uso, doña Margarita ha insistido en lavarlo como cualquier otro vaso de la casa. El vaso se estrenó en un asado realizado en la calle frente a la casa y fue rescatado de la basura por doña Márgara, como le dicen sus vecinos, junto con otros cinco vasos que no resistieron de igual manera la esponjilla y el jabón lavaloza. Nicanor Laverde, su esposo desde hace 65 años, dice que el lavado de los vasos desechables es constante motivo de peleas conyugales, peleas que él declara ya perdidas: ""Es que a mí no me cabe en la cabeza que la señora no entienda lo que es algo desechable, que se compró precisamente para que no tenga que lavar. Quién sabe cuantos microbios nos hemos tenido que tragar por la terquedad de la doña. ¡Pero dígale algo a ver si no se gana una cantaleta! Yo ya no digo nada"", confiesa don Nicanor haciendo un gesto de cremallera en la boca. Sus 5 hijos y 7 nietos no son ajenos a la discusión, que tiene a la familia totalmente polarizada. Aunque la abuela no se declara ecologista, ella dice que no va a botar ""algo que todavía sirve"". Con esta justificación, la anciana recicla velas de cumpleaños, bolsas y papel regalo de celebraciones anteriores. Lo que esperan todos en la casa es que nadie vuelva a llevar vasos desechables y que llegue el día en que por fin se rompa para poner fin a tantas discusiones.",https://huggingface.co/datasets/Edds/spanish-fake-news-fixed,311,11,55,"[0.59511, 0.57603, 0.46285, 0.29566, -0.01856, 0.05817, -0.03053, 0.18095, 0.30182, 0.17431, 0.4998, 0.49386, 0.17706, 0.18404, 0.13884, 0.1876, 0.36841, 0.15735, 0.2808, 0.30385, 0.23565, 0.1118, 0.10007, 0.00553, 0.15554, 0.32153, 0.23189, 0.29036, 0.27297, 0.34075, 0.24791, 0.40194, 0.2082, 0.40894, 0.08478, -0.02904, 0.03611, 0.19991, 0.00987, 0.16893, 0.35601, 0.04534, 0.18738, 0.09704, 0.37225, 0.15396, 0.23676, 0.06503, 0.18149, 0.26436, 0.03716, 0.29645, 0.28985, 0.19573, 0.19328]",0.2211477309465408,0.5951130390167236,True,11
False,"los que no siguen el Miss Universo no lo saben, pero desde hace algunos años las 20 finalistas se definen primero por continente, eligiendo solo 5 participantes de cada región del planeta. Las expectativas sobre si la concursante transexual, Ángela Ponce podría ser la mujer más bella de la Tierr a finalmente se revelo, luego de que no logrará ingresar a las finalistas de la región de Europa, en su lugar, las elegidas fueron Polonia, Bélgica, Reino Unido, Hungría e Irlanda Ahora falta que todas las mujeres sin importar la región compitan entre si para determinar quién es la nueva Miss Universo, que para fortuna de muchos y desdicha de otros, no será transexual. Cabe aclarar que la representante de México, Andrea Toscano, tampoco logro ingresar al top 20 de finalistas.",https://huggingface.co/datasets/Edds/spanish-fake-news-fixed,131,3,3,"[0.57658, 0.36778, 0.54686]",0.4970711767673492,0.5765764713287354,True,3
True,"México deportará a migrantes que buscaron cruzar muro. ESCAPE. Grupos de personas trataban de cruzar, ayer, la garita El Chaparral, de Tijuana, en el estado de Baja California –México–. (EFE) Redacción MÉXICO EFE México deportará a los migrantes que ayer intentaron cruzar el muro con Estados Unidos por varios puntos de Tijuana, en una serie de actos que llevaron a que la Policía estadounidense les lanzara gas lacrimógenos, sin que hasta el cierre de esta edición se reporten heridos o víctimas fatales. ""El Instituto Nacional de Migración (INM) va a actuar y proceder a la deportación inmediata de personas"" que participaron en estos altercados, anunció en entrevista con Milenio TV Alfonso Navarrete, titular de la Secretaría de Gobernación (Segob). De acuerdo con el Ministro, un grupo reducido de alborotadores llevó a varios contingentes en las ciudades de Tijuana y de Mexicali, en Baja California, a separarse de un grupo de centenares que ayer se dirigía pacíficamente a la garita de El Chaparral, en la frontera de Tijuana con San Ysidro (Estados Unidos). En grupos pequeños, decenas de migrantes de la caravana se desviaron de la ruta prevista, burlaron un cerco policial y trataron de trepar el muro fronterizo por varios puntos, siendo repelidos por la policía fronteriza estadounidense con gas lacrimógeno.""A quienes hemos identificado como personas violentas, que rompieron el orden legal mexicano se procederá, conforme a la ley y la Constitución, respetando todo derecho que tengan"" pero con ""firmeza"", puntualizó Navarrete, que lamentó que estos ""provocadores"" convencieran a mujeres y niños migrantes a participar en los sucesos. Aseguró que buena parte de los migrantes ya se han replegado y muchos de ellos habían regresado al albergue que los acoge en Tijuana. ",https://huggingface.co/datasets/Edds/spanish-fake-news-fixed,282,8,28,"[0.46876, 0.85484, 0.56659, 0.45184, 0.56717, 0.49652, 0.60442, 0.49937, 0.2968, 0.73147, 0.58, 0.37631, 0.49071, 0.56635, 0.51371, 0.58233, 0.49395, 0.54627, 0.33879, 0.41426, 0.46399, 0.48506, 0.6239, 0.50584, 0.57222, 0.44617, 0.61658, 0.41561]",0.5203508734703064,0.85483717918396,True,27
True,"Destacadas Fuerza Amarilla podría perder su reciente ascenso El club machaleño Fuerza Amarilla, recientemente ascendido a la Serie A del campeonato ecuatoriano de fútbol, podría perder esta categoría de confirmarse un supuesto caso de falsificación de firmas en los roles de pago de sus jugadores. Por 28 noviembre, 2018 319 En días pasados los futbolistas uruguayos: Nicolás Gómez, Christian Serrón e Ignacio Avilés denunciaron en la FEF que no adjudicaron sus rúbricas en los documentos que Fuerza Amarilla presentó, probando supuestamente la cancelación de estos haberes correspondientes a los meses de julio, agosto y septiembre. Esta denuncia fue presentada en primera instancia a la comisión jurídica del ente regulador del fútbol nacional, el mismo que recomendó al Comité Ejecutivo de la misma institución analice el documento de forma urgente. De ser sancionado el equipo orense, además de regresar a la Serie B, se le restaría cuatro puntos y esta vacante la tomaría Liga Deportiva Universitaria de Portoviejo (LDU-P). DENUNCIA POR FALTA DE COBRO EN VALORES ADEUDADOS A JUGADORES DE FUERZA AMARILLA (Sí, se confirma el equipo recibiría sanción de 4 puntos menos) pic.twitter.com/QZK0oaGShh — Jorge Luis Lasso Charpentier® (@jorgelassoch) 27 de noviembre de 2018",https://huggingface.co/datasets/Edds/spanish-fake-news-fixed,194,5,10,"[0.44133, 0.25204, 0.45356, 0.42865, 0.41849, 0.31359, 0.61508, 0.24166, 0.31273, 0.52507]",0.400221586227417,0.6150810718536377,True,6
